"date","Support","Conservative.Party","Liberal.Party","New.Democratic.Party","cum_conflict"
"2015-03-15",0,0,0,0,0
"2015-03-15",0,1,0,0,0
"2015-03-15",0.996124267578125,0,1,0,0
"2015-03-15",0,0,0,1,0
"2015-03-15",0.001922607421875,0,1,1,0
"2015-03-15",0.001922607421875,1,1,0,0
"2015-03-15",3.0517578125e-05,1,1,1,0
