"date","Conservative.Party","Liberal.Party","New.Democratic.Party","conflit","nb_Analyses"
"2014-02-24",1,1,1,0,0
"2014-04-25",0.001,6.25,0.16,0.818496,2
"2014-04-27",2.63,0.318,0.049,0.938232421875,2
"2014-04-28",0.062,5.818,0.125,0,1
"2014-05-07",1,1,1,0,1
"2014-06-24",0.065,0.433,2.31,0.460855212684625,1
"2014-07-11",0.413,2.081,0.481,0.0563562219353229,1
"2015-01-27",0.433,2.31,0.433,0,1
"2015-02-02",0.433,2.31,0.433,0,1
