"date","IP_adr","Support","Conservative.Party","Liberal.Party","New.Democratic.Party","conflict"
2015-03-15,"127.0.0.1",0,0,0,0,0
2015-03-15,"127.0.0.1",0,1,0,0,0
2015-03-15,"127.0.0.1",0.78125,0,1,0,0
2015-03-15,"127.0.0.1",0,0,0,1,0
2015-03-15,"127.0.0.1",0.09375,0,1,1,0
2015-03-15,"127.0.0.1",0.09375,1,1,0,0
2015-03-15,"127.0.0.1",0.03125,1,1,1,0
