"","No","Support","Conservative Party","Liberal Party","New-Democratic Party","Description"
"2","2","0.75","1","1","0","15. Debt, Deficit : CPC: 5. LPC: 16. NDP: 0.  "
"3","3","0.75","0","1","1","13. Culture : CPC: 2. LPC: 15. NDP: 12.  "
"31","4","0.5","0","1","0","1. Economy : CPC: 12. LPC: 44. NDP: 15.  "
